SpeciesName	Species	LLR
G.gallus	CIN	0
G.gallus	DDI	8645.783999999994
G.gallus	DME	78053.046
G.gallus	DRE	9933.449
G.gallus	ECO	16.058
G.gallus	GGA	268894.3600000003
G.gallus	HSA	94561.032
G.gallus	MJA	9.557
G.gallus	MMU	225767.3410000003
G.gallus	MTU	0
G.gallus	OSA	0
G.gallus	PFA	0
G.gallus	RNO	31597.55099999999
G.gallus	SCE	126586.78800000002
G.gallus	SPO	5211.212999999999
G.gallus	SSC	39255.50299999999
G.gallus	SSO	0
H.sapiens	ATH	67995.994
H.sapiens	BSU	218.646
H.sapiens	BTA	74701.33999999997
H.sapiens	CEL	159598.32400000002
H.sapiens	CIN	0
H.sapiens	NA	280.289
H.sapiens	DDI	2622.6620000000007
H.sapiens	DME	217536.66200000004
H.sapiens	DRE	13458.488999999996
H.sapiens	ECO	398.241
H.sapiens	GGA	942.1420000000002
H.sapiens	HSA	503388.114
H.sapiens	MJA	148.702
H.sapiens	MMU	416018.004
H.sapiens	MTU	0
H.sapiens	OSA	0
H.sapiens	PFA	240.382
H.sapiens	RNO	199702.245
H.sapiens	SCE	121052.302
H.sapiens	SPO	8066.0629999999965
H.sapiens	SSC	51823.786999999975
H.sapiens	SSO	8.009
M.jannaschii	ATH	1329.041
M.jannaschii	BSU	230.046
M.jannaschii	BTA	112.457
M.jannaschii	CEL	1896.661
M.jannaschii	CFA	0
M.jannaschii	CIN	0
M.jannaschii	DDI	93.229
M.jannaschii	DME	1645.975
M.jannaschii	DRE	278.568
M.jannaschii	ECO	462.51
M.jannaschii	GGA	12.275
M.jannaschii	HSA	3318.498
M.jannaschii	MJA	462.173
M.jannaschii	MMU	2462.923
M.jannaschii	MTU	0
M.jannaschii	OSA	0
M.jannaschii	PFA	8.741
M.jannaschii	RNO	532.562
M.jannaschii	SCE	4323.552
M.jannaschii	SPO	185.695
M.jannaschii	SSC	121.278
M.jannaschii	SSO	85.29
M.musculus	ATH	104165.727
M.musculus	BSU	6.996
M.musculus	BTA	71250.771
M.musculus	CEL	228113.20200000005
M.musculus	CFA	124.186
M.musculus	CIN	0
M.musculus	DDI	3845.0489999999977
M.musculus	DME	250169.919
M.musculus	DRE	7948.859999999997
M.musculus	ECO	405.986
M.musculus	GGA	610.768
M.musculus	HSA	257245.7420000001
M.musculus	MJA	140.674
M.musculus	MMU	310415.354
M.musculus	MTU	0
M.musculus	OSA	0
M.musculus	PFA	149.373
M.musculus	RNO	108183.677
M.musculus	SCE	154597.32700000002
M.musculus	SPO	3071.3019999999997
M.musculus	SSC	40102.00899999997
M.musculus	SSO	53.683
M.tuberculosis	ATH	3852.388
M.tuberculosis	BSU	671.4350000000001
M.tuberculosis	BTA	546.691
M.tuberculosis	CEL	2910.381
M.tuberculosis	CFA	0
M.tuberculosis	CIN	0
M.tuberculosis	DDI	175.728
M.tuberculosis	DME	2890.944
M.tuberculosis	DRE	150.927
M.tuberculosis	ECO	1099.5
M.tuberculosis	GGA	17.757
M.tuberculosis	HSA	5506.352
M.tuberculosis	MJA	166.716
M.tuberculosis	MMU	2206.509
M.tuberculosis	MTU	695.613
M.tuberculosis	OSA	0
M.tuberculosis	PFA	0
M.tuberculosis	RNO	654.023
M.tuberculosis	SCE	5528.552
M.tuberculosis	SPO	146.512
M.tuberculosis	SSC	320.668
M.tuberculosis	SSO	0
O.sativa	ATH	98088.22900000004
O.sativa	BSU	1016.545
O.sativa	BTA	26299.38499999997
O.sativa	CEL	222902.18600000005
O.sativa	CIN	0
O.sativa	NA	0
O.sativa	DDI	6615.865999999991
O.sativa	DME	20533.18899999997
O.sativa	DRE	0
O.sativa	ECO	0
O.sativa	GGA	0
O.sativa	HSA	210469.68600000005
O.sativa	MJA	0
O.sativa	MMU	146646.9150000001
O.sativa	MTU	0
O.sativa	OSA	29664.303
O.sativa	PFA	464.076
O.sativa	RNO	15025.557999999975
O.sativa	SCE	299478.576
O.sativa	SPO	11454.764999999994
O.sativa	SSC	14542.61199999996
O.sativa	SSO	0
P.falciparum	ATH	6351.494
P.falciparum	BSU	60.144
P.falciparum	BTA	673.989
P.falciparum	CEL	11669.402
P.falciparum	CIN	0
P.falciparum	NA	0
P.falciparum	DDI	255.576
P.falciparum	DME	12318.49
P.falciparum	DRE	2463.306
P.falciparum	ECO	732.088
P.falciparum	GGA	32.23
P.falciparum	HSA	20999.062
P.falciparum	MJA	29.619
P.falciparum	MMU	20884.275
P.falciparum	MTU	0
P.falciparum	OSA	0
P.falciparum	PFA	2974.055
P.falciparum	RNO	4553.222999999999
P.falciparum	SCE	27699.067
P.falciparum	SPO	845.658
P.falciparum	SSC	492.37500000000006
P.falciparum	SSO	15.431
R.norvegicus	ATH	59654.991
R.norvegicus	BSU	88.99
R.norvegicus	BTA	109068.65400000013
R.norvegicus	CEL	149315.68700000003
R.norvegicus	CFA	87.003
R.norvegicus	CIN	0
R.norvegicus	DDI	3242.6749999999984
R.norvegicus	DME	215004.29900000003
R.norvegicus	DRE	8518.063999999995
R.norvegicus	ECO	480.433
R.norvegicus	GGA	1091.465
R.norvegicus	HSA	148125.381
R.norvegicus	MJA	259.063
R.norvegicus	MMU	268479.9140000001
R.norvegicus	MTU	0
R.norvegicus	OSA	0
R.norvegicus	PFA	414.35
R.norvegicus	RNO	395672.516
R.norvegicus	SCE	114543.314
R.norvegicus	SPO	5773.543999999997
R.norvegicus	SSC	51163.223000000005
R.norvegicus	SSO	84.174
S.cerevisiae	ATH	22103.283
S.cerevisiae	BSU	170.499
S.cerevisiae	BTA	5346.213999999995
S.cerevisiae	CEL	41933.736
S.cerevisiae	CFA	1.465
S.cerevisiae	CIN	0
S.cerevisiae	DDI	1584.6830000000002
S.cerevisiae	DME	33571.548
S.cerevisiae	DRE	4622.593999999999
S.cerevisiae	ECO	428.402
S.cerevisiae	GGA	72.769
S.cerevisiae	HSA	39145.424
S.cerevisiae	MJA	232.215
S.cerevisiae	MMU	45408.872
S.cerevisiae	MTU	0
S.cerevisiae	OSA	0
S.cerevisiae	PFA	90.415
S.cerevisiae	RNO	14790.401999999998
S.cerevisiae	SCE	122746.48
S.cerevisiae	SPO	4602.82
S.cerevisiae	SSC	2206.5710000000013
S.cerevisiae	SSO	81.221
S.pombe	ATH	10423.729999999998
S.pombe	BSU	113.302
S.pombe	BTA	986.3540000000002
S.pombe	CEL	22479.614
S.pombe	CFA	1.02
S.pombe	CIN	0
S.pombe	DDI	359.754
S.pombe	DME	24870.368
S.pombe	DRE	3928.794
S.pombe	ECO	274.176
S.pombe	GGA	68.95700000000001
S.pombe	HSA	24547.171
S.pombe	MJA	130.706
S.pombe	MMU	24430.73
S.pombe	MTU	0
S.pombe	OSA	0
S.pombe	PFA	19.801
S.pombe	RNO	7266.848999999998
S.pombe	SCE	44274.317
S.pombe	SPO	19746.912
S.pombe	SSC	1191.1160000000004
S.pombe	SSO	35.411
S.scrofa	ATH	21299.744999999995
S.scrofa	BSU	102.654
S.scrofa	BTA	55704.466
S.scrofa	CEL	73254.538
S.scrofa	CFA	81.292
S.scrofa	CIN	0
S.scrofa	DDI	1556.3430000000003
S.scrofa	DME	104319.627
S.scrofa	DRE	5202.006999999998
S.scrofa	ECO	195.595
S.scrofa	GGA	375.254
S.scrofa	HSA	88903.251
S.scrofa	MJA	97.285
S.scrofa	MMU	174876.46500000003
S.scrofa	MTU	0
S.scrofa	OSA	0
S.scrofa	PFA	104.413
S.scrofa	RNO	32698.428999999993
S.scrofa	SCE	73644.90699999999
S.scrofa	SPO	3645.711999999999
S.scrofa	SSC	103263.499
S.scrofa	SSO	29.964
S.solfataricus	ATH	2473.608
S.solfataricus	BSU	220.749
S.solfataricus	BTA	225.266
S.solfataricus	CEL	3970.619
S.solfataricus	CFA	0
S.solfataricus	CIN	0
S.solfataricus	DDI	138.583
S.solfataricus	DME	2428.271
S.solfataricus	DRE	563.503
S.solfataricus	ECO	289.097
S.solfataricus	GGA	15.851
S.solfataricus	HSA	4299.455
S.solfataricus	MJA	448.226
S.solfataricus	MMU	4212.73
S.solfataricus	MTU	0
S.solfataricus	OSA	0
S.solfataricus	PFA	0
S.solfataricus	RNO	759.467
S.solfataricus	SCE	6322.389
S.solfataricus	SPO	226.273
S.solfataricus	SSC	235.664
S.solfataricus	SSO	373.882
