Species	Evidence	LLR	nTOT
D.rerio	GRG	2985.075	6662616
D.rerio	MEX	101016.947	2000237
D.rerio	MIR	126069.328	3652379
D.rerio	PEX	181590.504	3244073
D.rerio	PHP	47373.72	462582
D.rerio	PIN	30249.299	6354846
D.rerio	SCL	61415.087	6190493
D.rerio	TFB	32527.469	4986965
E.coli	DOM	2255.778	512903
E.coli	GIN	7357.19	464043
E.coli	GRG	0	520160
E.coli	MEX	30633.911	242877
E.coli	MIR	59.986	519647
E.coli	PEX	22319.959	471844
E.coli	PHP	21685.81	120844
E.coli	PIN	10411.417	461845
E.coli	SCL	7025.585	329449
E.coli	TFB	10089.463	475020
G.gallus	DOM	74920.44799999999	5264320
G.gallus	GIN	2108.899	5564954
G.gallus	GRG	179.882	5570556
G.gallus	MEX	101101.673	682146
G.gallus	MIR	51759.76100000002	4732066
G.gallus	PEX	285337.858	1894209
G.gallus	PHP	249343.1100000003	2126794
G.gallus	PIN	195722.569	4919550
G.gallus	SCL	20125.83	5412569
G.gallus	TFB	166829.464	790140
H.sapiens	DOM	146192.448	9471143
H.sapiens	GIN	49263.093	9984849
H.sapiens	GRG	59515.755000000005	9694592
H.sapiens	MEX	256351.0350000001	2664485
H.sapiens	MIR	548887.3359999998	4839661
H.sapiens	PEX	575318.6329999999	6443132
H.sapiens	PHP	688650.1759999999	2276500
H.sapiens	PIN	518947.9709999999	9025694
H.sapiens	SCL	871028.895	2580570
H.sapiens	TFB	392128.018	2164741
M.jannaschii	DOM	229.242	37472
M.jannaschii	GIN	1003.736	32958
M.jannaschii	GRG	0	38069
M.jannaschii	MEX	1234.564	10870
M.jannaschii	MIR	577.74	35607
M.jannaschii	PEX	5948.077	24643
M.jannaschii	PHP	590.646	5535
M.jannaschii	PIN	4924.748	32604
M.jannaschii	SCL	0	38069
M.jannaschii	TFB	4475.461	26867
M.musculus	DOM	97117.539	10858372
M.musculus	GIN	53102.31	11326475
M.musculus	GRG	31934.6	11353367
M.musculus	MEX	140598.603	2858334
M.musculus	MIR	735020.2599999995	5905408
M.musculus	PEX	711225.8809999999	6303716
M.musculus	PHP	688611.809	2368538
M.musculus	PIN	281514.99600000004	10901910
M.musculus	SCL	898771.7420000001	3705811
M.musculus	TFB	141641.751	3868532
M.tuberculosis	DOM	629.949	119806
M.tuberculosis	GIN	40.226	122231
M.tuberculosis	GRG	0	122444
M.tuberculosis	MEX	2054.561	26931
M.tuberculosis	MIR	0	122444
M.tuberculosis	PEX	9271.246	69683
M.tuberculosis	PHP	697.058	10089
M.tuberculosis	PIN	1674.125	113199
M.tuberculosis	SCL	0	122444
M.tuberculosis	TFB	8738.229	80611
O.sativa	DOM	100110.616	7939287
O.sativa	GIN	308.171	8167791
O.sativa	GRG	3370.432	8155237
O.sativa	MEX	51024.106	1707331
O.sativa	MIR	0	8168967
O.sativa	PEX	411568.121	4999982
O.sativa	PHP	33558.113	587485
O.sativa	PIN	241659.90700000004	7466751
O.sativa	SCL	0	8168967
O.sativa	TFB	334268.24	5756478
P.falciparum	DOM	5028.749	505804
P.falciparum	GIN	14719.671	470972
P.falciparum	GRG	0	513073
P.falciparum	MEX	1065.996	327385
P.falciparum	MIR	9.718	513069
P.falciparum	PEX	41592.774	391768
P.falciparum	PHP	3773.088	10375
P.falciparum	PIN	37217.981	475842
P.falciparum	SCL	16197.735	385325
P.falciparum	TFB	25940.144	386875
R.norvegicus	DOM	63225.158	9949745
R.norvegicus	GIN	5559.394	10326783
R.norvegicus	GRG	10438.117	10289021
R.norvegicus	MEX	141658.461	1385474
R.norvegicus	MIR	439752.46800000005	5526869
R.norvegicus	PEX	507277.8799999996	4522167
R.norvegicus	PHP	450761.012	3147874
R.norvegicus	PIN	202735.637	9826871
R.norvegicus	SCL	12640.737	9880133
R.norvegicus	TFB	145352.673	2109600
S.cerevisiae	DOM	3339.578	1319733
S.cerevisiae	GIN	15049.962	1270656
S.cerevisiae	GRG	296.347	1362001
S.cerevisiae	MEX	27152.603	300553
S.cerevisiae	MIR	12249.312	1225918
S.cerevisiae	PEX	77374.965	935242
S.cerevisiae	PHP	80980.932	634663
S.cerevisiae	PIN	24926.537	1186398
S.cerevisiae	SCL	55076.728	1128777
S.cerevisiae	TFB	122949.021	516949
S.pombe	DOM	2696.385	630537
S.pombe	GIN	11625.175	518939
S.pombe	GRG	0	649419
S.pombe	MEX	5542.24	212378
S.pombe	MIR	16715.428	468510
S.pombe	PEX	45938.071	331846
S.pombe	PHP	10930.001	223596
S.pombe	PIN	49291.909	518176
S.pombe	SCL	61814.8	364202
S.pombe	TFB	52765.194	331836
S.scrofa	DOM	50039.967	5444799
S.scrofa	GIN	3343.73	5553300
S.scrofa	GRG	33.8	5575107
S.scrofa	MEX	44206.158	664209
S.scrofa	MIR	176907.3449999999	3309325
S.scrofa	PEX	269218.864	1999173
S.scrofa	PHP	146627.74000000002	784035
S.scrofa	PIN	127837.508	5260931
S.scrofa	SCL	1166.092	5572490
S.scrofa	TFB	52397.14	2071408
S.solfataricus	DOM	0	61153
S.solfataricus	GIN	1846.493	53336
S.solfataricus	GRG	0	61153
S.solfataricus	MEX	1768.529	16271
S.solfataricus	MIR	0	61153
S.solfataricus	PEX	8910.638	32790
S.solfataricus	PHP	442.415	6643
S.solfataricus	PIN	5043.185	55862
S.solfataricus	SCL	0	61153
S.solfataricus	TFB	7721.113	39154
